aX,aY,aZ,gX,gY,gZ
0.059,-0.011,-0.079,-108.582,-80.505,-17.578
0.153,0.104,-0.103,-102.783,-78.613,-14.648
0.285,0.208,-0.119,-97.046,-76.355,-10.193
0.468,0.329,-0.145,-86.609,-71.167,3.418
0.873,0.578,-0.174,-80.566,-68.542,11.719
1.039,0.710,-0.164,-60.669,-65.186,28.442
1.361,1.045,-0.191,-45.044,-64.636,36.926
1.574,1.193,-0.223,-2.014,-63.110,56.335
2.009,1.384,-0.345,24.353,-61.523,66.833
2.143,1.458,-0.401,51.697,-58.777,77.637
2.173,1.525,-0.398,97.717,-50.598,101.257
1.944,1.466,-0.252,111.267,-47.241,114.014
1.746,1.323,-0.148,118.774,-46.204,133.911
1.430,1.023,0.019,115.845,-48.706,138.550
1.336,0.846,0.095,109.619,-52.856,139.343
1.246,0.672,0.139,90.637,-64.209,130.432
0.973,0.379,0.109,81.238,-69.519,122.070
0.819,0.314,0.081,70.618,-76.111,101.074
0.503,0.256,-0.027,70.251,-76.965,90.393
0.345,0.250,-0.063,72.571,-75.684,80.200
0.261,0.229,-0.037,83.557,-69.397,61.646
0.303,0.077,0.073,89.539,-66.711,52.307
0.325,0.007,0.109,90.942,-64.575,32.349
0.263,-0.054,0.101,84.534,-64.148,22.827
0.215,-0.075,0.089,73.975,-63.354,14.221
0.176,-0.096,0.065,43.945,-60.425,-0.732
0.119,-0.107,-0.016,26.001,-58.105,-7.202
0.110,-0.078,-0.066,-11.414,-50.720,-17.883
0.200,0.092,-0.128,-29.236,-45.410,-21.240
0.302,0.193,-0.122,-62.500,-32.776,-22.766
0.512,0.422,-0.032,-78.308,-26.367,-21.057
0.584,0.530,0.039,-93.262,-20.264,-17.761
0.655,0.673,0.111,-118.286,-9.766,-6.958
0.991,1.245,-0.013,-127.319,-5.249,2.502
1.317,1.614,-0.259,-136.047,10.498,34.180
1.897,2.203,-0.189,-136.780,21.790,53.711
1.830,2.360,0.041,-134.949,35.034,88.989
1.130,2.222,0.008,-128.052,37.903,100.769
0.835,1.985,-0.075,-114.197,41.382,106.873
0.661,1.674,-0.127,-75.562,50.049,102.112
0.506,1.099,-0.167,-59.021,54.321,92.957
0.408,0.887,-0.171,-40.527,63.538,69.031
0.238,0.626,-0.137,-37.659,67.505,56.091
0.200,0.560,-0.139,-37.109,70.251,43.335
0.201,0.484,-0.150,-39.673,73.547,19.714
0.230,0.342,-0.153,-42.786,74.524,8.606
0.227,0.298,-0.137,-52.124,75.256,-12.756
0.225,0.243,-0.065,-56.824,74.768,-23.071
0.229,0.227,-0.033,-60.669,73.425,-33.020
0.222,0.200,-0.003,-65.552,68.909,-51.025
0.217,0.190,0.009,-66.833,66.040,-59.021
0.213,0.182,0.022,-65.063,59.937,-73.242
0.203,0.160,0.014,-60.913,57.007,-79.712
0.214,0.164,0.005,-48.523,52.490,-91.492
0.290,0.271,0.030,-42.419,50.598,-96.252
0.344,0.355,0.057,-37.231,48.584,-99.731
