aX,aY,aZ,gX,gY,gZ
-2.155,2.502,0.963,-69.092,-74.341,546.692
-2.339,2.571,0.825,10.925,-52.490,521.973
-2.503,2.431,0.633,53.772,-33.569,503.723
-2.480,2.320,0.583,113.892,31.006,467.163
-2.659,2.038,0.325,121.094,79.712,451.843
-2.819,1.910,0.214,109.680,139.771,435.364
-2.965,1.861,0.146,38.635,281.677,384.888
-3.107,2.133,-0.103,0.427,358.887,350.830
-3.188,2.230,-0.237,-28.687,520.325,272.522
-3.369,2.275,-0.600,-26.855,601.868,230.530
-3.484,2.252,-0.784,-31.433,683.044,190.735
-3.575,2.221,-0.959,-98.450,835.449,121.155
-3.589,2.055,-1.054,-159.668,899.597,84.778
-3.506,1.967,-0.951,-288.635,976.318,-15.686
-3.172,2.004,-0.606,-323.120,981.750,-77.637
-2.988,2.064,-0.482,-299.988,934.143,-192.017
-2.516,2.075,-0.363,-252.380,895.019,-234.497
-2.277,2.002,-0.306,-189.575,853.821,-264.465
-2.030,1.852,-0.253,-54.199,770.752,-289.917
-1.639,1.367,-0.195,-3.845,727.539,-289.978
-1.427,1.097,-0.144,13.123,631.775,-281.555
-0.993,0.761,-0.084,-16.968,578.857,-278.198
-0.877,0.682,-0.111,-78.186,469.971,-276.733
-0.778,0.610,-0.150,-86.304,417.236,-276.428
-0.738,0.579,-0.204,-78.125,366.882,-273.743
-0.677,0.530,-0.286,-30.640,278.992,-257.629
-0.449,0.393,-0.385,-5.371,242.920,-244.080
-0.320,0.302,-0.384,15.503,182.617,-209.656
-0.120,0.151,-0.350,7.874,155.823,-191.589
-0.070,0.118,-0.310,-29.541,106.079,-158.325
-0.037,0.166,-0.283,-49.072,82.825,-143.494
-0.036,0.197,-0.298,-62.134,61.646,-129.639
-0.034,0.197,-0.305,-63.354,27.527,-105.347
0.027,0.189,-0.290,-55.969,14.160,-94.971
0.069,0.167,-0.317,-36.926,-6.348,-76.355
0.107,0.063,-0.385,-28.015,-13.428,-68.726
0.140,0.031,-0.390,-21.667,-22.888,-55.725
0.203,0.022,-0.394,-25.940,-26.123,-49.011
0.242,0.017,-0.407,-33.813,-28.503,-41.992
0.315,0.020,-0.433,-53.955,-29.907,-28.320
0.470,-0.035,-0.428,-64.941,-29.114,-22.095
0.512,-0.060,-0.409,-87.341,-28.870,-11.292
0.624,-0.035,-0.411,-98.022,-29.968,-5.615
0.684,-0.002,-0.411,-114.868,-32.227,7.935
0.778,0.105,-0.403,-118.225,-32.959,15.869
0.865,0.099,-0.410,-116.211,-33.447,24.231
0.931,0.081,-0.430,-91.980,-34.546,38.391
0.912,0.065,-0.432,-71.472,-34.912,43.701
0.910,0.053,-0.411,-30.823,-36.438,52.063
0.987,0.043,-0.416,-16.235,-37.354,55.725
1.046,0.036,-0.424,-5.981,-37.964,59.143
1.092,0.041,-0.415,5.127,-38.330,64.453
1.130,0.093,-0.409,7.568,-38.635,66.650
1.136,0.090,-0.411,7.141,-38.269,69.946
1.105,0.036,-0.347,3.418,-37.537,70.129
1.106,0.056,-0.325,-9.583,-36.255,68.726
1.141,0.117,-0.324,-16.052,-35.278,68.481
1.133,0.115,-0.317,-20.996,-33.875,68.359
1.124,0.111,-0.316,-27.222,-30.640,66.833
1.112,0.047,-0.327,-30.884,-28.015,65.002
1.086,0.021,-0.319,-41.321,-20.996,58.472
1.079,0.099,-0.329,-46.265,-16.968,54.932
1.078,0.120,-0.336,-48.462,-8.545,48.584
1.022,0.097,-0.304,-46.448,-4.761,44.373
1.012,0.092,-0.273,-44.617,-1.404,39.185
1.024,0.106,-0.245,-44.250,2.991,28.259
1.081,0.190,-0.218,-44.006,4.028,23.682
1.095,0.218,-0.228,-37.415,4.150,17.151
1.071,0.210,-0.272,-30.579,4.028,14.099
