aX,aY,aZ,gX,gY,gZ
-3.224,1.966,-0.763,101.074,-965.149,237.061
-3.346,1.948,-1.592,163.452,-967.590,217.407
-2.751,1.681,-1.795,299.805,-907.471,151.367
-1.962,1.237,-1.546,358.704,-853.149,104.431
-1.882,1.134,-1.346,411.743,-729.614,9.766
-1.589,1.015,-1.042,402.649,-664.185,-27.039
-1.467,0.911,-0.902,374.817,-596.558,-53.101
-1.383,0.757,-0.743,295.044,-461.243,-79.590
-1.276,0.570,-0.409,259.521,-398.560,-86.182
-1.227,0.526,-0.253,214.478,-292.908,-95.215
-1.122,0.403,-0.086,203.430,-249.939,-100.342
-1.026,0.335,0.009,182.739,-176.392,-112.671
-0.850,0.270,0.157,166.016,-144.531,-117.615
-0.792,0.246,0.216,145.874,-115.845,-121.155
-0.748,0.223,0.275,104.797,-70.129,-126.587
-0.614,0.225,0.381,85.754,-53.040,-128.906
-0.518,0.254,0.418,47.852,-26.672,-129.822
-0.325,0.287,0.460,28.992,-15.564,-127.869
-0.247,0.281,0.460,-1.465,5.920,-122.375
-0.135,0.302,0.439,-11.230,16.907,-119.629
-0.066,0.327,0.449,-17.761,28.137,-116.272
0.008,0.365,0.460,-24.414,48.584,-106.262
0.108,0.418,0.480,-26.550,57.190,-99.304
0.132,0.436,0.484,-31.006,69.763,-83.374
0.179,0.482,0.467,-33.020,74.036,-74.646
0.223,0.483,0.468,-33.813,77.271,-65.674
0.273,0.472,0.482,-30.090,81.665,-48.401
0.316,0.484,0.492,-26.367,83.130,-40.344
0.321,0.496,0.481,-18.005,85.205,-24.353
0.323,0.528,0.429,-13.611,86.121,-16.479
0.340,0.563,0.390,-9.338,87.219,-8.484
0.384,0.591,0.379,-1.221,90.088,8.179
0.479,0.570,0.427,3.052,90.820,15.930
0.491,0.551,0.426,11.414,90.027,27.649
0.507,0.574,0.351,14.343,89.905,32.532
0.543,0.626,0.282,15.930,90.942,37.781
0.583,0.669,0.230,15.625,98.206,50.537
0.593,0.682,0.218,15.015,102.661,56.396
0.560,0.678,0.243,15.869,107.239,63.782
0.471,0.721,0.242,17.456,106.812,65.918
0.472,0.764,0.223,19.531,105.591,68.115
0.507,0.809,0.208,22.034,103.943,74.768
0.511,0.828,0.175,21.851,103.760,78.857
0.485,0.822,0.147,22.095,105.347,85.632
0.442,0.862,0.124,23.315,107.544,88.257
0.431,0.902,0.112,25.513,110.168,91.003
0.431,0.937,0.093,33.203,115.173,96.741
0.446,0.974,0.078,38.147,117.310,99.365
0.415,0.986,0.082,46.814,121.765,103.210
0.297,1.010,0.108,48.950,124.268,104.736
0.237,1.039,0.101,49.438,127.380,106.384
0.187,1.084,0.089,48.279,136.536,111.877
0.118,1.170,0.086,48.035,142.090,115.479
0.125,1.205,0.070,53.162,154.785,121.643
0.117,1.214,0.037,60.181,162.598,123.169
0.068,1.180,0.029,69.397,171.448,123.047
0.010,1.149,0.029,86.304,191.284,118.713
-0.102,1.163,0.044,88.684,201.904,116.760
-0.136,1.172,0.036,76.843,224.365,116.150
-0.114,1.192,-0.032,66.040,237.061,116.577
-0.131,1.197,-0.062,54.443,250.977,116.577
-0.171,1.195,-0.078,34.546,279.480,112.244
-0.287,1.199,-0.082,28.137,292.542,107.361
-0.336,1.204,-0.089,24.658,314.941,93.811
-0.360,1.226,-0.193,26.428,324.829,86.609
-0.337,1.228,-0.259,28.564,334.656,80.017
-0.336,1.212,-0.301,26.672,352.417,66.772
-0.372,1.160,-0.294,18.494,358.887,58.472
-0.383,1.118,-0.258,-16.235,364.685,37.170
-0.383,1.081,-0.272,-39.246,364.136,24.048
-0.368,1.079,-0.341,-80.200,359.924,-6.226
-0.328,1.081,-0.514,-92.468,357.605,-23.010
-0.307,1.070,-0.559,-98.206,355.225,-40.710
-0.286,1.074,-0.554,-99.060,346.069,-75.989
-0.214,1.110,-0.462,-99.731,337.341,-90.759
-0.177,1.139,-0.456,-96.863,311.401,-110.779
-0.167,1.190,-0.578,-88.745,296.997,-115.540
-0.177,1.193,-0.616,-58.105,268.921,-116.089
-0.142,1.131,-0.605,-38.818,254.517,-112.915
-0.115,1.084,-0.567,-19.592,239.563,-108.215
-0.096,1.043,-0.522,12.146,207.031,-96.069
-0.080,0.956,-0.469,22.949,190.063,-89.050
-0.085,0.914,-0.480,34.180,158.264,-75.928
-0.155,0.885,-0.605,34.668,145.264,-69.885
-0.188,0.864,-0.656,28.809,127.136,-58.960
-0.159,0.797,-0.648,24.475,120.422,-54.749
-0.111,0.774,-0.595,19.043,113.770,-51.086
-0.060,0.758,-0.533,2.625,97.229,-44.312
-0.010,0.770,-0.448,-7.263,87.097,-40.833
-0.012,0.808,-0.443,-25.452,66.101,-32.715
-0.035,0.871,-0.491,-31.067,57.068,-27.771
-0.043,0.885,-0.516,-30.518,43.579,-18.433
-0.037,0.896,-0.508,-25.574,38.513,-14.587
-0.021,0.893,-0.485,-19.165,33.752,-11.292
0.004,0.882,-0.460,-6.409,24.170,-6.531
0.065,0.850,-0.408,-1.892,19.165,-5.005
0.100,0.852,-0.380,0.061,8.972,-2.197
0.132,0.890,-0.341,-1.953,3.662,-0.061
0.133,0.913,-0.341,-4.639,-6.531,5.310
0.155,0.948,-0.350,-3.174,-10.681,8.301
0.166,0.953,-0.348,0.305,-14.160,11.169
0.167,0.952,-0.341,8.179,-19.104,16.296
0.153,0.940,-0.314,9.583,-20.935,18.250
0.142,0.938,-0.304,7.324,-23.254,20.569
0.141,0.936,-0.292,5.920,-23.682,20.874
0.145,0.927,-0.286,5.249,-23.621,20.630
0.141,0.919,-0.276,4.028,-22.766,18.555
0.123,0.927,-0.246,1.953,-22.583,17.151
0.117,0.938,-0.237,-4.089,-23.315,14.465
0.121,0.966,-0.235,-5.981,-23.743,13.489
0.125,0.974,-0.237,-5.310,-24.048,12.146
0.118,0.985,-0.237,-3.357,-23.865,11.597
