aX,aY,aZ,gX,gY,gZ
-2.366,1.003,-1.439,168.335,783.203,192.993
-2.331,0.958,-1.960,152.710,934.692,182.983
-2.449,0.868,-2.634,149.780,990.784,177.490
-2.650,0.856,-2.790,157.898,1024.048,172.302
-2.898,0.879,-2.893,195.374,1006.470,169.861
-3.073,0.961,-2.894,204.041,956.665,173.645
-2.858,1.045,-2.794,162.415,787.353,185.303
-2.099,1.204,-2.859,121.338,684.448,190.613
-1.683,1.276,-2.970,81.421,584.229,194.702
-1.329,1.254,-2.976,32.227,411.682,193.237
-0.723,1.015,-2.766,24.597,336.426,182.129
-0.471,0.875,-2.790,18.311,213.806,135.010
-0.149,0.775,-2.851,16.663,173.706,103.271
-0.131,0.776,-2.706,13.794,123.779,42.847
-0.213,0.818,-2.329,9.094,103.577,19.287
-0.215,0.852,-2.223,1.038,84.229,1.953
-0.192,0.878,-2.170,-11.353,53.894,-15.808
-0.061,0.942,-2.113,-9.460,45.410,-18.250
-0.006,0.976,-2.047,8.423,39.124,-12.451
0.012,0.989,-1.787,22.827,37.109,-5.676
0.012,0.972,-1.632,39.734,33.386,2.014
0.014,0.943,-1.497,73.853,19.470,15.137
-0.027,0.819,-1.360,88.318,10.925,18.066
-0.032,0.750,-1.331,105.713,-1.648,14.893
0.043,0.691,-1.260,104.675,-4.150,11.108
0.054,0.704,-1.229,84.473,-4.517,5.310
0.063,0.769,-1.174,72.876,-3.784,3.662
0.074,0.794,-1.123,65.735,-2.869,2.258
0.062,0.805,-1.058,67.383,-2.563,-1.831
-0.001,0.771,-0.968,73.120,-3.784,-5.188
-0.020,0.765,-0.935,83.313,-6.775,-13.123
-0.032,0.787,-0.872,83.923,-8.179,-15.686
-0.039,0.796,-0.841,81.848,-9.705,-16.846
-0.024,0.810,-0.773,77.576,-14.038,-16.602
-0.012,0.818,-0.738,78.552,-17.090,-16.357
0.001,0.803,-0.697,85.754,-24.109,-16.968
0.031,0.817,-0.648,88.684,-27.588,-18.066
0.064,0.805,-0.653,91.003,-31.799,-19.653
0.178,0.764,-0.688,91.309,-31.860,-20.935
0.204,0.778,-0.706,90.515,-30.762,-22.461
0.204,0.791,-0.709,86.487,-27.100,-24.841
0.195,0.798,-0.659,83.740,-25.818,-26.123
0.202,0.806,-0.639,74.890,-25.024,-28.687
0.181,0.817,-0.586,67.566,-25.452,-29.541
0.164,0.822,-0.565,45.837,-28.687,-30.579
0.181,0.840,-0.560,33.997,-30.823,-31.372
0.183,0.863,-0.565,23.987,-32.593,-32.349
0.189,0.883,-0.567,13.306,-34.668,-34.241
0.204,0.896,-0.562,12.390,-35.217,-35.217
0.215,0.900,-0.548,14.465,-36.255,-36.804
0.257,0.912,-0.499,14.954,-36.804,-36.804
0.273,0.918,-0.479,15.503,-37.537,-34.973
0.300,0.913,-0.452,17.029,-37.537,-33.691
0.329,0.890,-0.447,19.592,-37.170,-32.532
0.365,0.863,-0.440,24.048,-34.790,-30.579
0.388,0.831,-0.401,23.865,-33.264,-29.480
0.392,0.829,-0.375,18.066,-31.433,-26.062
0.366,0.833,-0.337,14.771,-31.555,-23.987
0.345,0.824,-0.327,12.512,-33.020,-20.386
0.360,0.810,-0.307,13.184,-33.508,-18.982
0.387,0.814,-0.292,13.672,-33.569,-17.334
0.409,0.808,-0.280,12.695,-33.386,-13.306
0.432,0.770,-0.274,12.390,-33.264,-11.841
0.437,0.757,-0.273,13.489,-31.860,-10.254
0.450,0.757,-0.269,13.855,-30.396,-9.399
0.460,0.769,-0.265,13.489,-28.503,-7.935
0.457,0.782,-0.258,9.949,-24.902,-3.906
0.442,0.793,-0.242,7.690,-24.109,-2.014
0.438,0.790,-0.242,5.676,-24.231,-0.061
0.434,0.796,-0.251,5.615,-24.353,0.366
0.438,0.805,-0.253,3.113,-22.705,1.831
0.425,0.826,-0.248,0.183,-21.362,2.930
0.411,0.840,-0.244,-2.686,-20.386,4.089
0.397,0.857,-0.244,-5.676,-20.508,6.348
0.387,0.899,-0.255,-5.798,-21.179,7.690
0.393,0.916,-0.265,-6.653,-20.935,11.475
0.408,0.935,-0.274,-7.629,-19.592,13.672
0.417,0.933,-0.272,-8.179,-17.761,15.808
0.421,0.922,-0.268,-4.211,-15.808,18.066
0.414,0.896,-0.264,1.099,-16.357,17.517
0.412,0.885,-0.266,14.221,-18.555,13.672
0.409,0.865,-0.271,19.104,-19.043,11.353
0.406,0.856,-0.268,20.081,-17.822,7.507
0.405,0.852,-0.246,16.418,-16.418,6.409
0.392,0.845,-0.232,11.475,-15.320,5.737
0.382,0.835,-0.216,2.380,-14.587,4.211
0.376,0.817,-0.197,-1.221,-14.771,3.174
0.376,0.816,-0.196,-7.385,-14.221,1.099
0.362,0.828,-0.193,-9.644,-13.428,0.366
0.345,0.834,-0.192,-11.169,-12.878,-0.244
0.328,0.842,-0.193,-11.108,-12.207,-0.916
0.321,0.865,-0.195,-9.827,-11.719,-0.427
0.324,0.874,-0.190,-7.935,-9.766,2.869
0.347,0.880,-0.188,-7.690,-8.484,5.310
0.355,0.884,-0.191,-6.470,-5.676,10.071
0.334,0.883,-0.202,-4.333,-4.700,11.780
